Epoch,Loss_train,ECE_train,Loss_eval,ECE_eval
0,633.5908813476562,154.7606203313917,300.8765869140625,90.15693752840161
1,664.7691040039062,131.56596647016704,339.8197937011719,52.660570815205574
2,673.4440307617188,114.43281810358167,337.90484619140625,51.18616126477718
3,672.5694580078125,105.90283227153122,337.77947998046875,50.24102149158716
4,671.29248046875,104.98950159363449,338.457763671875,51.524663120508194
5,671.2490844726562,106.74412102252245,337.5751037597656,49.91192511469126
6,671.3178100585938,98.9322167225182,337.5422668457031,49.277191907167435
7,670.4309692382812,102.63251086696982,337.6050720214844,49.00537001341581
8,670.570556640625,96.56024774722755,337.6475830078125,49.825590535998344
9,668.612548828125,101.25821986794472,337.5888366699219,50.25683993846178
10,668.879150390625,100.94692325033247,339.9726257324219,56.01009410619736
11,668.9533081054688,100.5355674456805,350.0989990234375,63.8882764428854
12,667.21875,104.54832839779556,344.7967834472656,60.40086977183819
13,668.0272827148438,108.3940218705684,350.12493896484375,65.36214714124799
14,667.9185180664062,106.19376424141228,349.7776794433594,62.57469216734171
