Epoch,Loss_train,ECE_train,Loss_eval,ECE_eval
0,667.4734497070312,149.3665617350489,339.80645751953125,54.87882620096207
1,675.8771362304688,121.29767139814794,337.257080078125,49.008310839533806
2,674.0783081054688,112.70811018161476,338.2261657714844,51.71085833013058
3,672.04931640625,111.25593034178019,337.3789978027344,49.528650395572186
4,671.9153442382812,107.58376021496952,337.9661560058594,51.02860730141401
5,672.0001220703125,99.15624075196683,337.4566345214844,49.99497368186712
6,670.45068359375,101.26240656897426,340.27337646484375,53.81667286902666
7,671.3187866210938,101.46521562710404,337.5140075683594,49.809205405414104
8,671.3242797851562,97.0893132276833,337.5221862792969,50.03615526854992
9,670.48583984375,96.42272878065705,338.08465576171875,51.31024735420942
10,670.5833129882812,96.47740549966693,337.70172119140625,49.38295738399029
11,670.2570190429688,94.3640793710947,337.5650329589844,50.44590724259615
12,670.5680541992188,95.66520579531789,337.6357116699219,49.36743348836899
13,670.1865844726562,94.72189505025744,337.9743957519531,51.11225386708975
14,670.5027465820312,91.64303161203861,337.4828186035156,50.135547302663326
